,id,user,tweet,created_at,prepro
526,1432296715734769673,Amelia Savitri,"Menkes: Vaksin Bantu Daya Imun Kuat Lawan Covid-19
https://t.co/L5DcvBnDkm

Disiplin Protokol Kesehatan https://t.co/lPiauBHi9n",2021-08-30 10:58:42,"['menkes', 'vaksin', 'bantu', 'daya', 'imun', 'kuat', 'lawan', 'covid', 'disiplin', 'protokol', 'sehat']"
532,1432254222507012099,POLSEK BANGUN,Giat Operasi Yustisi Covid-19 di Depan Mako Polsek Bangun Jln. Asahan Km 17 Nag. Bangun Kec. Gunung Malela Kab. Simalungun. https://t.co/bN82Qkuht3,2021-08-30 08:09:51,"['giat', 'operasi', 'yustisi', 'covid', 'mako', 'polsek', 'bangun', 'asah', 'km', 'nag', 'bangun', 'kec', 'gunung', 'malela', 'kab', 'simalungun']"
536,1432247691329765378,Polsek Tirtajaya,"Kapolri berharap kepada Forkopimda Bali untuk bersinergi dengan seluruh elemen masyarakat dengan menggunakan pendekatan adat melalu para pemuka adat untuk mengajak warga yang terpapar Covid-19 agar di...

#PatuhiPPKMdanVaksinasi
Bersama Cegah Pandemi
https://t.co/16uwA5fdIy https://t.co/Qkmnm9DOcT",2021-08-30 07:43:54,"['kapolri', 'harap', 'forkopimda', 'bal', 'sinergi', 'elemen', 'masyarakat', 'dekat', 'adat', 'lalu', 'muka', 'adat', 'ajak', 'warga', 'papar', 'covid', 'patuhippkmdanvaksinasi', 'cegah', 'pandemi']"
541,1432246523455180801,PMI Kab Banjarnegara,"Program Penguatan dan Percepatan Respon Penanggulangan Covid 19 dukungan PMI dan KOICA 
https://t.co/rvQlIDDBv7
@palangmerah @PMIJawaTengah @sarwapramana @BudhiSarwono @bna_dinkominfo @dkkbanjarnegara @Banjarnegara__ @dwihandokowibi1 @BPBD_BNA @andrikomplong 
#pmiselalubantu https://t.co/7BshimLUIQ",2021-08-30 07:39:15,"['program', 'kuat', 'cepat', 'respon', 'tanggulang', 'covid', 'dukung', 'pmi', 'koica', 'pmiselalubantu']"
542,1432246494984216578,Raiyani Muharramah,"Masa pandemi belum usai kawan, jangan kendor prokes 6M nya, bersama kita berjuang melawan covid 19 
@SATU_indonesia , @Kompascom #SemangatSalingBantu #PesanBaikUntukSemua",2021-08-30 07:39:08,"['pandemi', 'kawan', 'kendor', 'prokes', 'm', 'juang', 'lawan', 'covid', 'semangatsalingbantu', 'pesanbaikuntuksemua']"
548,1432241256927666187,polsek dumai kota,"KAPOLRI BAHAS KESIAPAN PON XX BERSAMA FORKOPIMDA MIMIKA
Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/MB5x0n9xkb., Menghimbau Forkopimda Mimika Untuk Melaksanakan Strategi Pengendalian Covid-19 Yakni Prokes Ketat 3M, Penguatan 3T (Tracing, Testing &amp; Treatment). https://t.co/vQCCipGIfu",2021-08-30 07:18:20,"['kapolri', 'bahas', 'kesiap', 'pon', 'xx', 'forkopimda', 'mimika', 'kapolri', 'jenderal', 'polisi', 'drs', 'listyo', 'sigit', 'prabowo', 'menghimbau', 'forkopimda', 'mimika', 'laksana', 'strategi', 'kendali', 'covid', 'prokes', 'ketat', 'm', 'kuat', 'tracing', 'testing', 'treatment']"
550,1432241028094849025,polsek dumai kota,"Kepala Kepolisian Republik Indonesia Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/MB5x0n9xkb., Menghimbau Forkopimda Mimika Untuk Laksanakan Strategi Pengendalian Covid-19 Yakni Prokes Ketat 3M, Penguatan 3T (Tracing, Testing &amp; Treatment) Serta Akselerasi Program Vaksi https://t.co/uIaZm2PaUt",2021-08-30 07:17:25,"['kepala', 'polisi', 'republik', 'indonesia', 'jenderal', 'polisi', 'drs', 'listyo', 'sigit', 'prabowo', 'menghimbau', 'forkopimda', 'mimika', 'laksana', 'strategi', 'kendali', 'covid', 'prokes', 'ketat', 'm', 'kuat', 'tracing', 'testing', 'treatment', 'akselerasi', 'program', 'vaksi']"
551,1432240659205820421,polsek dumai kota,"Polri Memberikan Bantuan Sosial Berupa Sembako Yang Dibagikan Secara Door To Door, Sebagai Bentuk Peduli Kepada Sesama Dimasa Pandemi Covid-19

#PatuhiPPKMdanVaksinasi
Bersama Cegah Pandemi https://t.co/Sc4gp1TBCD",2021-08-30 07:15:57,"['polri', 'bantu', 'sosial', 'sembako', 'bagi', 'door', 'to', 'door', 'bentuk', 'peduli', 'masa', 'pandemi', 'covid', 'patuhippkmdanvaksinasi', 'cegah', 'pandemi']"
552,1432240581552402436,polsek dumai kota,"Polri Memberikan Bantuan Sosial Berupa Sembako Yang Dibagikan Secara Door To Door, Sebagai Bentuk Peduli Kepada Sesama Dimasa Pandemi Covid-19

#PatuhiPPKMdanVaksinasi
Bersama Cegah Pandemi https://t.co/iiZ78rk9Mt",2021-08-30 07:15:39,"['polri', 'bantu', 'sosial', 'sembako', 'bagi', 'door', 'to', 'door', 'bentuk', 'peduli', 'masa', 'pandemi', 'covid', 'patuhippkmdanvaksinasi', 'cegah', 'pandemi']"
554,1432240397816717312,polsek dumai kota,"Mari Kita Bersama Satukan Tujuan Demi Indonesia Bebas Dari Belenggu Covid-19.

#PatuhiPPKMdanVaksinasi
Bersama Cegah Pandemi https://t.co/x9CDxadk4u",2021-08-30 07:14:55,"['mari', 'satu', 'tuju', 'indonesia', 'bebas', 'belenggu', 'covid', 'patuhippkmdanvaksinasi', 'cegah', 'pandemi']"
